label-coarse,label-fine,text
0,0,How do I make fuel bricks from recycled newspaper ?
3,4,What 19th-century painter died in the Marquesas Islands ?
1,22,The corpus callosum is in what part of the body ?
0,0,How do I log on to home page at Headquarters U.S. European Command ?
5,18,"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP ."
1,14,What is Nebraska 's most valuable resource ?
4,13,How many species of the Great White shark are there ?
0,12,What is the origin of head lice ?
5,11,What is the nickname for the state of Mississippi ?
1,2,What was the first domesticated bird ?
4,13,How many villi are found in the small intestine ?
5,18,What country did King Wenceslas rule ?
1,23,What is a fear of shadows ?
3,4,Who were the five Marx brothers ?
4,8,In which year was New Zealand excluded from the ANZUS alliance ?
4,8,When did CNN begin broadcasting ?
0,9,What causes the body to shiver in cold temperatures ?
0,7,What are bear and bull markets ?
1,1,What J.R.R. Tolkien book features Bilbo Baggins as the central character ?
0,7,What is `` dew point '' ?
0,7,What is the meaning of Jesus ?
3,5,What company 's logo is a `` W '' in a circle ?
0,7,What is the definition of a cascade ?
4,8,When did Rococo painting and architecture flourish ?
5,18,What country 's national passenger rail system is called Via ?
3,4,Who invented Make-up ?
0,12,What is the origin of the word `` attic '' ?
0,12,What did Delilah do to Samson 's hair ?
1,2,What kind of animals were in the Paleozoic era ?
3,4,Which of the following was Rhodes Scholar ?
3,4,Who comprised the now-defunct comic book team known as the Champions ?
0,0,How do you make a paintball ?
5,11,What U.S. state is Fort Knox in ?
1,2,What is a female rabbit called ?
5,24,Where is the highest point in Japan ?
0,12,Where do chihuahuas come from ?
5,14,Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?
5,14,What are the world 's four oceans ?
1,1,What 's the only work by Michelangelo that bears his signature ?
1,2,What is the largest snake in the world ?
1,1,In what medium is Stuart Hamblen considered to be the first singing cowboy ?
5,14,Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?
4,25,How much money does a back injury lawsuit get ?
1,20,What 's the common name for acetylsalicylic acid ?
0,7,What does the Georgetown `` Hoya '' mean ?
5,14,Where can I find a list of `` classic '' books 5th and 6th graders should read ?
1,26,Which two products use a tiger as their symbol ?
0,0,How is the election of a new Pope announced to the world ?
4,27,How long does it take for your blood to make one complete trip through the body ?
0,0,How do chickens have baby chicks ?
0,12,What is the historical relationship of Catholic Church and bingo ?
0,0,How was the element calcium named ?
3,4,What crooner joined The Andrews Sisters for Pistol Packin Mama ?
3,5,What piano company claims its product is the `` Instrument of the immortals '' ?
4,8,When did the Bounty mutiny take place ?
1,1,What novel inspired the movie BladeRunner ?
0,7,What is a transistor ?
1,1,What is a film starring Jude Law ?
1,2,What Hollywood dog died in the arms of Jean Harlow in 1932 ?
1,28,What are the most common elements in the Earth 's crust ?
4,25,"How much would it cost to purchase a 2-foot-square party tent , with sides , ?"
3,4,What actress has received the most Oscar nominations ?
0,7,What are equity securities ?
0,7,What is gymnophobia ?
4,13,How many years do fossils take to form ?
5,14,Where is the Orinoco ?
1,2,What was the name of the `` Little Rascals '' dog ?
5,21,"What city boasts Penn 's Landing , on the banks of the Delaware river ?"
1,1,What Broadway musical was inspired by Cervantes 's Don Quixote ?
0,12,"What is the origin of the word , JJ ."
4,13,How many hostages were killed in the Entebbe raid ?
0,0,How you can raise your IQ ?
2,3,What does INRI stand for when used on Jesus ' cross ?
3,5,Who produces Spumante ?
3,4,Who earns their money the hard way ?
3,4,Who founded the People 's Temple Commune ?
3,4,What athlete makes the most money from sports merchandise sales ?
4,13,How many bends are there in a standard paper clip ?
3,4,Who discovered electricity ?
1,22,What part of your body contains the corpus callosum ?
3,4,Who was the first American in space ?
5,18,What two South American countries do n't border Brazil ?
1,1,What album put The Beatles on the cover of Time in 1967 ?
1,1,"What poem contains the line , `` grow old with me the best is yet to be '' ."
0,7,What is a dental root canal ?
1,10,What war did the Wanna-Go-Home Riots occur after ?
4,8,What is the busiest air travel season ?
1,22,What 's the colored part of the eye called ?
0,7,What are hook worms ?
5,14,Where is the Rose Bowl played ?
3,5,Which Japanese car maker had its biggest percentage of sale in the domestic market ?
3,4,Who is the mayor of Marbella ?
5,14,"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?"
4,8,In what year did Thatcher become prime minister ?
4,13,How many months does it take the moon to revolve around the Earth ?
5,14,Where are the 49 steps ?
4,8,In what year was De Gaulle elected president of France ?
3,4,Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?
3,4,Who directed `` Jaws '' ?
1,1,On what T.V. show could Tom Terrific be found ?
3,5,What Indian tribe is F Troop perpetually doing battle with ?
0,12,Where did Indian Pudding come from ?
0,9,Why do some clothing labels say `` Use a nonchlorine bleach '' ?
4,13,How many colonies were involved in the American Revolution ?
5,21,What is the name of the city that Maurizio Pellegrin lives in ?
5,14,Where can I find pictorial directions on how to build a very simple treehouse ?
1,29,"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?"
3,4,What is the name of the managing director of Apricot Computer ?
3,6,What is the occupation of Nicholas Cage ?
0,9,Why do horseshoes bring luck ?
0,7,"What is the 401 , K , plan ?"
0,9,What causes pneumonia ?
4,8,What are the three winter months in the southern hemisphere ?
0,7,What does gringo mean ?
5,18,What country contains Africa 's northernmost point ?
1,23,What therapy attempts to elicit the `` primal scream '' ?
5,14,Where is the Kalahari desert ?
3,5,Which Ventura County police department seized the largest cocaine shipment in it 's history ?
5,21,What city is sometimes called Gotham ?
1,22,What dangles over the tongue from the palate ?
3,4,Who created Dennis the Menace ?
3,4,What dummy received an honorary degree from Northwestern University ?
4,8,When was the first Wall Street Journal published ?
5,18,What countries have the largest areas of forest ?
0,0,How do I start a web based business ?
3,4,Name Alvin 's brothers
0,7,What is Eagle 's syndrome styloid process ?
0,0,How did Jayne Mansfield die ?
4,8,When did the royal wedding of Prince Andrew and Fergie take place ?
3,4,What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?
3,4,What explorer was nicknamed Iberia 's Pilot ?
4,8,CNN began broadcasting in what year ?
1,20,What is a ball that hits the foul pole called ?
0,9,What makes hamburgers taste like steakburgers ?
3,5,Which company created the Internet browser Mosaic ?
1,10,What are the rites accompanying the circumcision of a newly born-child in Judaism called ?
1,14,What was the education system in the 1960 's ?
5,21,What South American city has the world 's highest commercial landing field ?
0,0,How can I find out which cities have cable-modem access ?
0,9,What is Betsy Ross famous for ?
4,13,How many species of sharks are there ?
0,7,What is `` snoogans '' ?
4,13,How many people are there in the world ?
1,30,What shrubs can be planted that will be safe from deer ?
3,5,What organization 's offices were broken into at Watergate in 1972 ?
0,12,What is the design of the ship Titanic ?
2,3,What does S.O.S. stand for ?
1,31,Name a technique widely used to detect birth defects ?
0,12,What is the daily requirement of folic acid for an expectant mother ?
0,7,What is the `` 7-minute cigarette '' ?
1,14,What four forms does gold occur in ?
4,32,What is the acreage of the Chappellet vineyard ?
0,0,How do you correctly say the word ` qigong ' ?
4,8,When did beethoven die ?
4,25,How much does a new railroad coal car cost ?
5,18,What two European countries entered the War of American Independence against the British ?
0,7,What is the filmmakers collabrative ?
3,4,What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?
0,9,What caused Harry Houdini 's death ?
3,4,"Who was the mother of the man who would not be king , the duke of Windsor ?"
4,13,How many revolutions does a standard LP make in three minutes ?
5,24,What is the name of the tallest mountain in the world ?
5,14,Where can I find a review of Nightmare on Elm Street in a film journal ?
1,31,What 's the slowest Olympic swimming stroke ?
3,4,What was the name of the first Russian astronaut to do a spacewalk ?
1,23,What disease is transmitted by the Anopheles mosquito ?
1,17,What rum is so `` mixable '' it is a one-brand bar ?
4,13,How many South American countries have the letter Z in their names ?
0,7,What is the contents of proposition 98 ?
5,14,Where was George Washington born ?
4,13,"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD ."
3,4,Who wrote NN DT NNP NNP '' ?
0,7,What is paracetamol ?
0,12,What are the powers and weaknesses of Green Lantern 's ring ?
1,2,"Which mosquito 's bite draws blood , DT NN CC DT NN ."
4,8,When was the first steel mill in the United States built ?
3,4,What diminutive American female gymnast stole the show at the 1984 Olympics ?
0,12,What is the origin of the name Katie ?
3,5,"What schools in the Washington , DC NN NN VBP NN NN NN NN ."
4,8,When did the Berlin Wall go up ?
3,12,Who is Terrence Malick ?
1,33,What instrument is Ray Charles best known for playing ?
0,7,"What 's the meaning of the Latin battle cry : Ad arma , ad arma ."
1,14,What is the mascot for Notre Dame University ?
5,14,"What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?"
4,8,When did Mount St. Helen last have a significant eruption ?
2,3,CNN is the abbreviation for what ?
4,8,When did World War I start ?
4,13,How many feet are there in a fathom ?
0,7,What is a Canada two-penny black ?
5,21,What European city do Nicois live in ?
0,0,How can I find out what year a Beanie Baby was introduced ?
0,7,What is the classic definition of tragic hero ?
1,14,To what does Microsoft 's Windows 3 owe its success ?
3,4,Who was President of Afghanistan in 1994 ?
1,31,"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?"
1,17,What did brontosauruses eat ?
1,19,What color bottles do good Rhine wines come in ?
3,4,Who was the lead actress in the movie ` Sleepless in Seattle ' ?
3,4,Who was the 16th President of the United States ?
3,4,Who are the two sons of Ozzie and Harriet Nelson ?
0,7,What is molybdenum ?
4,8,When is Boxing Day ?
1,14,What is the lowest level of the American judiciary ?
4,8,When was the battle of the Somme fought ?
4,13,How many people did Randy Craft kill ?
1,2,What 's the official animal of Canada ?
4,8,When did Spielberg direct `` Jaws '' ?
4,32,What is the size of the largest akita ?
1,2,What animal has the biggest eyes ?
5,21,What is California 's capital ?
3,4,Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?
3,4,Who was the founding member of the Pink Floyd band ?
5,18,What European country is home to the beer-producing city of Budweis ?
0,0,How do I find the balance of my social security account ?
0,12,What is the history of Valentine 's Day cards ?
5,14,Where was Christopher Columbus born ?
1,20,What do Italians call Florence ?
0,0,How do you get to the top of the Eiffel Tower ?
2,3,What does ` PSI ' stand for ?
5,14,What sea did the Romans call mare nostrum ?
1,20,What 's the term for a bet before cards are dealt ?
1,2,"Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?"
5,21,What city did the Flintstones live in ?
1,20,What is Latin for incompetent ?
1,23,What chemicals are used in lethal injection ?
3,5,What toy company is the world 's No.1 maker of female apparel ?
1,29,What board game does a `` wood-pusher '' play poorly ?
3,4,Which Doonesbury character was likely to turn into a werewolf ?
2,34,What is the abbreviation for micro ?
1,14,What are the 7 articles of the constitution ?
3,5,Who has won the most Super Bowls ?
2,3,What does NASDAQ stand for ?
2,3,What is BPH ?
1,14,What is the fastest commercial automobile that can be bought in the US ?
5,14,What stadium do the Miami Dolphins play their home games in ?
3,4,Who has the only speaking role in `` Silent Movie '' ?
0,9,Why is poop sometimes different colors ?
4,14,What was Einstein 's IQ ?
4,8,What day was Pearl Harbor attacked in 1942 ?
3,4,What girl 's name is `` Teddy '' an affectionate form of ?
5,11,What state is John F. Kennedy buried in ?
1,31,What is the best way to remove wallpaper ?
5,11,What U.S. state has an element named for it ?
3,5,What company tabulates the ballots in voting for the Academy Awards ?
0,0,How did the tradition of best man start ?
4,13,How many years ago did the ship Titanic sink ?
5,14,What is the deepest area of the Arctic Ocean ?
1,19,What are Halloween 's colors ?
0,0,How is silk screening done ?
4,14,"What is the latitude and longitude of El Paso , Texas ?"
3,4,Who made a boat out of gopher wood ?
5,14,Where can I find a `` Fifth Element '' screensaver ?
3,4,Which Bloom County resident wreaks havoc with a computer ?
0,0,How do you match a name to a social security number ?
0,0,How does a rainbow form ?
4,14,What is the normal resting heart rate of a healthy adult ?
4,14,What is the population of Ohio ?
4,13,How many calories are there in a Big Mac ?
0,7,Hazmat stands for what ?
1,2,What creature scares people in the film `` Jaws '' ?
3,4,What part did John Peter Zenger play in the deveopment of the newspaper in America ?
3,4,Who followed Caesar ?
1,28,What are the four elements ?
3,4,Who was the first woman golfer to earn a million ?
1,14,What 's the tallest piece on a chessboard ?
5,14,What is Answers.com 's address ?
5,14,Where can I buy movies on videotape online ?
3,4,Who does the advertizing for Frito-Lay ?
3,5,Who is the leading competitor of Trans Union Company ?
1,26,What product did Robert Conrad dare people to knock off his shoulder ?
3,4,Who invented the radio ?
4,13,What 's the American dollar equivalent for 8 pounds in the U.K. ?
1,31,What are the different approaches of systems analysis ?
0,0,How do doctors diagnose bone cancer ?
3,4,Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?
4,35,What is the speed of the Mississippi River ?
1,14,What are the developmental stages of a swimmer ?
3,4,What actor first portrayed James Bond ?
5,14,What ocean is the largest in the world ?
3,4,"Who was the first American poet to win the Nobel Prize for literature , in 1948 ?"
4,8,What year did Jack Nicklaus join the Professional Golfers Association tour ?
4,13,How many sonnets did Shakespeare write ?
0,9,What causes the redness in your cheeks when you blush ?
3,4,Who won the Nobel Peace Prize in 1991 ?
3,5,Who are the Challengers of the Unknown ?
0,7,Define the Pheonix Club ?
5,21,Which city did Christian Crusaders fight to recapture from the Muslims ?
0,7,What does it mean `` Rupee Depreciates '' ?
1,14,What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?
3,4,Who was the first coach of the Cleveland Browns ?
0,0,How successful is arometherapy ?
1,10,What Jewish holiday saw the start of the 1973 Mideast War ?
0,0,How does a copier work ?
4,35,What is the speed of the Mississippi River ?
3,4,Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?
1,2,What is Dudley Do-Right 's horse 's name ?
3,4,Who declared : `` I am down on whores and I shan 't stop ripping them '' ?
5,14,Where does chocolate come from ?
1,1,What TV game show once saw a contestant admit to picking his toes in the shower ?
3,4,What Soviet leader owned a Rolls-Royce ?
5,14,Where can I find a case on Individuals with Disabilities Education Act of 1991 ?
1,10,What war did Florence Nightingale tend the troops in ?
3,4,"Who wrote the song , `` Stardust '' ?"
4,13,How many Beatles ' records went #1 ?
3,4,Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?
2,34,What is the abbreviation of the company name ` General Motors ' ?
5,24,What mountains lie between the Arkansas and Missouri rivers ?
3,4,Who received the Will Rogers Award in 1989 ?
0,9,What is the function of RAM ?
5,14,What 's the closest G2 Spectrum Yellow Dwarf to Earth ?
4,13,How many equal angles are there in an isosceles triangle ?
1,23,What is the fear of cockroaches called ?
1,1,What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?
0,12,What is the use of a 24-hour clock instead of a 12-hour clock ?
3,4,What was the name of the lawyer who represented Randy Craft ?
3,4,What United States President had dreamed that he was assassinated ?
1,1,What film did Lee Marvin win the 1965 best actor Oscar for ?
5,14,Where is Basque country located ?
1,26,What product does `` Mrs. Olsen '' promote ?
4,8,What time of day did Emperor Hirohito die ?
0,7,What is dry ice ?
1,14,What 's the most powerful card in Euchre ?
0,7,What does `` intractable plantar keratoma '' mean ?
4,13,How many years did it take James Joyce to write Ulysses ?
1,17,What crop failure caused the Irish Famine ?
5,21,What South Korean city is served by Kimpo International Airport ?
4,13,How many types of dogs ' tails are there - three
1,1,What is the longest-running television series ?
1,2,What predators exist on Antarctica ?
0,12,What is the difference between a generator and an alternator ?
0,0,How is energy created ?
1,17,What beer advertised that it had `` three rings '' ?
4,14,What is the quantity of American soldiers still unaccounted for from the Vietnam war ?
1,31,What golfing accessory was patented by George Grant on December 12
1,14,What are the different types of plastic ?
0,0,How is it correct to say ` qigong ' ?
5,24,What was the highest mountain on earth before Mount Everest was discovered ?
5,14,"Where was the Ligurian Republic , 1797-185 , ?"
5,18,What country 's people are the top television watchers ?
4,8,When was the women 's suffrage amendment ratified ?
3,5,What Polynesian people inhabit New Zealand ?
1,1,What movie tour of the Roman empire features the admonition : `` Row well and live '' ?
5,21,What Nevada center has been dubbed The Biggest Little City in the World ?
3,4,"What President lived at 219 North Delaware Street , Independence , Missouri ?"
0,9,Give a reason for American Indians oftentimes dropping out of school .
5,14,Where must a soccer goalie stand to be permitted to handle the ball ?
0,12,What is the difference between classical conditioning and operant conditioning ?
5,11,In what U.S. state was the first woman governor elected ?
0,12,What are some interesting facts and information about dogsledding ?
4,8,What year did Hitler die ?
3,4,What famous model was married to Billy Joel ?
1,2,What kind of animal is Babar ?
0,9,What is Jane Goodall known for ?
1,14,What killed Bob Marley ?
4,25,How much money are Dumbo 's ears insured for ?
3,4,Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?
3,12,Who is Stein Eriksen ?
0,7,What does the name Billie mean ?
3,4,Who is the fastest swimmer in the world ?
5,24,What is the highest peak in Africa ?
5,14,Where is Procter & Gamble headquartered in the U.S. ?
5,14,What desert has been called The Garden of Allah ?
1,14,What do bicornate animals have two of ?
0,9,What function does a community 's water tower serve ?
1,23,What is a fear of weakness ?
4,13,How many miles is it to Ohio from North Carolina ?
4,13,How much snow equals an inch of rain ?
2,3,What does G.M.T. stand for ?
0,7,What does Inuit and Eskimo mean ?
1,1,What song served as the closing theme of The Johnny Cash Show ?
1,29,What field sport did dentist William Beers promote and write a standard book of rules for ?
0,0,How do I tie dye clothes ?
4,8,When does the average teenager first have intercourse ?
0,9,Why doesn 't www.answers.com have any answers to my questions ?
3,4,What actor 's autobiography is titled All My Yesterdays ?
3,4,What Russian master spy lived in the U.S. under the name Emil Goldfus ?
5,14,Where 's the 19th hole on a golf course ?
0,9,What 's nature 's purpose for tornadoes ?
3,4,Who played the original Charlie 's Angels ?
5,14,Where can I find a person 's address from a telephone number ?
1,36,"What English word comes from the Old French covrefeu , meaning cover fire ?"
1,33,What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?
5,14,Where did Sarge Steel get his metal hand ?
0,9,What makes popcorn pop ?
3,4,Who wrote The Night of the Iguana ?
1,22,Where does your hair grow the fastest ?
5,18,What country did King Gustav V reign over from 197 to 195 ?
3,4,Who painted Mother and Child ?
4,35,What is the speed of the Mississippi River ?
5,14,In what area of the world was the Six Day War fought ?
5,14,What is the brightest star visible from Earth ?
1,1,What film marked Robert Redford 's directorial debut ?
3,4,What was Mao 's second name ?
1,1,What film or films has Jude Law appeared in ?
5,14,Where do hyenas live ?
3,12,Who is the `` Queen Mother '' ?
1,37,What 's the most commonly-spoken language in Belgium ?
3,4,Who has more DNA - a man or a woman ?
0,7,What are Maid-Rites ?
1,1,"What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?"
3,5,What level of government or governmental agency is responsible for dealing with racism ?
4,13,How many referees work a soccer game ?
1,17,What cocktail do you concoct with whisky and sweet vermouth ?
1,20,How do you say `` fresh '' in Spanish ?
0,12,What do bee hives do in cranberry bogs ?
0,9,What caused the Lynmouth floods ?
4,8,When is the Tulip Festival in Michigan ?
3,4,"Who came up with the name , El Nino ?"
1,1,What movie did Madilyn Kahn star in with Gene Wilder ?
1,14,What type of bridge is the Golden Gate Bridge ?
3,4,What dictator has the nickname `` El Maximo '' ?
3,5,What stereo manufacturer is `` Slightly ahead of its time '' ?
5,21,What U.S. city is The Queen of the Pacific ?
3,4,What TV sitcom character had the maiden name Ethel Potter ?
1,17,What was the first Lifesaver flavor ?
3,4,Who kept the most famous diary in the English language ?
5,14,Where can I find out the top 1 singles ?
4,13,How many degrees cooler is the inside of a cucumber than the air outside ?
3,4,What Spanish artist painted Crucifixion ?
1,1,What is the Jewish bible called ?
0,9,Why is the grass green ?
0,7,What is a firewall ?
3,4,What spy novelist served as Moscow correspondent for Reuter and The Times of London ?
3,5,Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?
4,27,How long does it take for Spider-Man 's web to evaporate ?
3,4,Who was Randy Steven Craft 's lawyer ?
5,14,What was known as the Spice Island ?
3,4,Who was the first host of Person to Person ?
3,4,Name the Ranger who was always after Yogi Bear .
1,14,"What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?"
1,14,What does the Statue of Liberty wear on her feet ?
3,4,Who is the superstar in rent-a-cars ?
5,21,McCarren Airport is located in what city ?
1,14,"What household facility contains a float ball , ballcock , and overflow tube ?"
1,2,What was the name of Betty Boop 's dog ?
4,38,What fraction of a beaver 's life is spent swimming ?
1,28,What was the Bridge of San Luis Rey made of ?
0,12,What do economists do ?
5,18,What country has the largest sheep population ?
0,12,"What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?"
5,18,What country is the world 's largest importer of cognac ?
4,13,How many years is Johnnie Walker Black Label aged ?
2,3,What does SIDS stand for ?
1,14,What is Grenada 's main commodity export ?
4,25,"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it , ?"
0,9,What makes a clitoris sensitive ?
5,18,"What country has the most time zones , with 11 ?"
1,14,What `` magic '' does Mandrake employ ?
3,4,Who is the president of Stanford University ?
3,4,Whose first presidential order was : `` Let 's get this goddamn thing airborne '' ?
1,14,"What was introduced commercially by Bayer A.G. of Leverkusen , in 1899 ?"
5,21,What city is Logan Airport in ?
0,7,What is a nanometer ?
4,13,How many innings are there in a regulation softball game ?
4,8,When did CNN go on the air ?
5,21,What is the largest city on the Great Lakes ?
4,39,What is the telephone number for the University of Kentucky ?
3,4,Who invented baseball ?
4,13,How many wives did Brigham Young have ?
1,26,What product on the market is good for hiding facial scars ?
4,40,How long is the Coney Island boardwalk ?
5,21,What city gained renown for its pea-soup fogs ?
0,7,What does `` Janelle '' mean ?
0,0,How do I get another city 's newspaper ?
1,1,Name a movie about the Sioux Indians starring Kevin Costner .
3,4,"Who was shot in the back during a Poker game in Deadwood , the Dakota territory ?"
0,12,What are the distinct physical characterstics of the Arabian horse ?
1,23,What is a fear of thunder ?
1,2,What animal has killed the most people ?
4,13,How many colleges are in Wyoming ?
5,21,What Russian seaport has a name meaning `` Lord of the East '' ?
5,14,Where can stocks be traded on-line ?
4,8,When was the Battle of Hastings ?
1,14,What kind of file has the extension .dbf ?
4,8,When did Muhammad live ?
1,20,"What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?"
0,7,What is a wop ?
0,12,Where do rocks come from ?
0,0,How do I stop background noise in a car stereo ?
5,24,Where do people mountain climb in Nepal ?
3,5,What is the best college in the country ?
0,7,What is viscosity ?
1,1,What was the name of the sitcom that Alyssa Milano starred in with Tony Danza ?
5,18,What are the Nordic nations ?
5,14,Where on the Internet can I get information about the Fifth Amendment on the American Bill of Rights ?
5,11,What U.S. state borders Illinois to the north ?
1,1,Name a film in which Jude Law acted .
4,41,What is the temperature for baking Peachy Oat Muffins ?
1,23,What is a fear of bees ?
1,1,What Vladimir Nabokov novel features Professor Humbert in love with a 12-year-old girl ?
0,7,What is a green bog ?
5,14,Where did the myth of Santa Claus originate ?
1,14,What does a chairbound basophobic fear ?
5,21,What city is served by Logan International Airport ?
3,4,What wrestling star became `` The Incredible Hulk '' ?
5,14,What attracts tourists to Reims ?
1,29,What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?
1,14,What fastener did Whitcomb Judson patent in 1893 ?
0,7,What 's an auberge in France ?
3,4,Who was the star of the 1965 Broadway hit Golden Boy ?
5,14,Where is Procter & Gamble based in the U.S. ?
3,5,What army was founded by William Booth and his wife Catherine ?
1,28,What does ribavirin consist of ?
1,17,Name the soft drink that is `` number one in the sun . ''
5,14,What is the web address of the list of e-mail addresses of members of the House of Representatives ?
3,4,What was her real name ?
0,9,Why are the ears your center of balance ?
3,4,Who invented the toothbrush ?
1,1,What was the name of that popular song the Creeps sang ?
5,14,Where is the Abominable Snowman said to wander ?
1,23,What is a fear of being alone ?
4,13,How many dots make up the symbol for `` because '' ?
1,17,What do you get by adding Lactobacillus bulgaricus to milk ?
2,3,"When reading classified ads , what does EENTY : other stand for ?"
4,13,How many hearts does an octopus have ?
1,30,What plant has the largest seed ?
5,18,What was the only country you were allowed to drive into Israel from in 1979 ?
1,14,What 's approaching when a cyclist shouts : `` Oil '' ?
3,4,"What baseball star turned down a $1 , 000-a-year contract because he felt he had n't earned it ?"
1,29,What kind of sport is often associated with hooligans ?
3,4,What video game hero do some of his fans call Chomper ?
4,13,How many holes are there in a tenpin bowling ball ?
1,36,What is the longest word in the English language ?
5,14,In What city or state do the most gay men live in ?
3,4,"What TV comediennes 's characters include former movie star Nora Desmond , secretary Mrs. Wiggins and a housewife named Eunice ?"
1,2,What is `` the bear of beers '' ?
1,14,Name the operating system that runs on IBM-compatible machines .
0,7,What does the name `` Justin '' mean ?
4,38,What percentage of the body is muscle ?
1,19,What color of dry wine should be served with veal roasts and chops ?
1,28,What is a golf ball made of ?
0,7,What is the Amish religion ?
